Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
0,2.322918942945029,121.10750685408141,[-4.53314847 -2.96413644  6.61405019],[ 5.17762802 -1.18256927 -6.68400476]
2,4.09676532187501,34.70086081148295,[-1.19339116 -1.6968565   6.62665991],[-4.66253739 -4.08679597  2.37740829]
3,5.583262910731825,102.10632507891694,[-3.21513061 -0.67086211  6.62623662],[-6.04985301 -1.33549594  2.22557568]
5,3.5520934908568456,939.8686391911273,[ 3.81048098 -2.7578281   6.63312022],[-0.79236996 -6.13124951 -4.90086384]
9,5.382019618021822,791.0192772769673,[-1.53741488 -0.91045637  6.61806527],[-5.49679858 -2.84419539  1.56815934]
12,2.160354706476953,371.132861886448,[-0.9320521  -6.08768647  1.082494  ],[ 5.51017577 -2.15608387 -6.66814853]
14,4.667666185067213,397.11249949254903,[-1.95776828  0.5194697   6.62834603],[-6.07726604 -1.28032544  2.50472507]
15,1.1287746390232651,146.92187077837744,[-1.06189993  1.31912576  6.61613054],[ 5.96180028  1.66587169 -1.15440606]
18,4.627836410199968,262.72261023343754,[-4.7994298  -0.89475024  6.61692727],[-6.10771476 -1.030262    5.30395177]
19,4.205094923174886,52.06245248895076,[-5.44938503  0.11314953  6.61136217],[-6.20087544  0.09567415  5.7515946 ]
24,3.1423873215821567,779.6869411261895,[-1.99666072  0.73465322  6.62556576],[-2.00723613  0.7320013  -6.68239519]
31,2.131308695042557,203.23402484789528,[-5.94156889  1.18944212  6.61831835],[ 4.30922649  4.44941179 -5.48440079]
41,4.266027749823639,728.5879096720882,[-0.10361644 -4.46327081  6.62122804],[-2.90680724 -5.46463887  3.51355997]
43,5.673534426894354,79.08089454474295,[ 3.12716706 -3.03386306  6.61843675],[-2.59303738 -5.61476309 -3.37176856]
44,2.592938990048077,29.10005789440519,[5.70429688 0.1483183  6.62359365],[6.1855818  0.24162739 5.70077686]
46,4.79717678610686,76.29401371546614,[6.10740529 0.58224413 1.68021956],[-2.21725793 -0.06640794 -6.67445645]
51,2.882847223810304,699.0620579338306,[-5.94628186 -1.61741636  4.15162855],[-3.17389059 -0.79674143 -6.68361408]
53,0.14436449871254375,106.01263746512552,[1.68702389 1.23193435 6.62976975],[ 3.60150191  1.40200577 -6.67782471]
54,0.49708300554156365,39.17299404678949,[-1.28356955 -0.16450885  6.62298229],[ 5.05590542  1.06042377 -6.67112314]
57,2.301562712580048,71.12606681600899,[ 4.21716223 -1.32323388  6.61842155],[ 6.09798245 -1.12304201  4.09268849]
58,0.3071698571444701,675.8622335488818,[-3.14695725 -4.7328082   6.62641412],[ 0.87409745 -2.94055098 -6.67238777]
61,3.0881029934437727,80.10046363844945,[-0.2894761   0.12191093  6.62660223],[ 0.42140647  0.8947121  -6.66983068]
63,1.9126052263573672,50.575867561840134,[-5.39467358 -2.9399025   5.98213376],[ 6.08362121  1.16855907 -6.20095414]
66,4.882312642391712,59.58089375230909,[5.43799153 2.8627177  4.86452529],[-5.94422046 -1.07470199 -6.68401245]
72,3.7610323057177864,965.1669228937874,[-2.40873856  5.68029899 -1.25164623],[-3.68069753  4.95734508 -3.44249181]
74,6.028208764912122,1059.4561468311615,[ 3.19009015 -0.95161098  6.62295313],[-0.16364733 -1.93807423 -6.67377773]
78,1.5102192441981608,367.0926869041608,[4.52789463 2.29403124 6.63135081],[5.54799956 2.75140247 5.60937133]
80,1.9775055760644782,548.365201634371,[-0.73376828  0.98091124  6.63085522],[4.9703469  3.69938005 0.42011491]
83,3.186596713053001,687.5162314647389,[0.33432525 4.50956806 6.62595759],[-0.26397883  4.40513663 -6.6729782 ]
85,1.2330530609525743,56.46863885105049,[3.31486484 4.41605872 6.62871309],[4.16615388 4.58568608 5.7264506 ]
86,2.5121737492490817,764.2477155640546,[3.93261722 4.07742445 6.62785666],[4.6013292  4.13386553 5.49189566]
96,4.950933709023206,173.4946721306817,[-5.49457921  0.35801593  6.61003582],[-6.1941859   0.3553782   5.89004094]
98,5.095727031657352,336.7403652108043,[-4.31094955 -0.98037381  6.63072483],[-6.02312712 -1.4694122   4.78455465]
100,5.736695892555551,222.11082349840316,[ 5.20856115 -3.29539563 -0.74825518],[ 2.12237335 -4.50735451 -6.68675878]
102,2.611927590467207,91.77769230533538,[3.65647632 3.95844069 6.62990033],[4.49874486 4.24359628 4.96284836]
106,5.317366571913647,32.158779669014294,[ 5.79005979 -2.07585885  6.3733655 ],[-2.10240087 -5.81900859 -3.22215819]
109,1.8926732757486995,199.78283324691088,[ 1.91324206 -4.33568404  6.62660885],[ 6.0089999  -1.485507    2.30911908]
113,1.5863224123843374,79.53385561388478,[-4.26057807  4.44814054  2.13916652],[ 0.80745881  6.12853598 -2.92948127]
115,0.4102886059642702,37.945500329869176,[-1.95512152  1.73280917  6.61912086],[ 3.34659205  2.84302016 -6.67257927]
119,4.630346491998316,183.5621348154197,[-4.81949675 -0.14670599  6.61328954],[-6.19395731 -0.19638953  5.23419025]
120,5.297885127664964,130.64033422670119,[-1.00048035 -2.22683493  6.61968286],[-5.49004115 -2.85938392  1.23288655]
125,1.7283853707501748,39.03056047585166,[ 3.14128878 -2.47734398  6.61534926],[ 6.08515626 -1.12565198  3.63454521]
127,1.010847929931892,11.707593988592782,[-6.10144512 -0.76443642  3.47724862],[ 2.49931706 -0.40211689 -6.6737482 ]
131,0.7972241113042545,699.1681254605548,[-0.0111081   1.144623    6.61571278],[ 5.93940523  1.74680641 -1.70180524]
133,1.7018714771519028,185.55598749429623,[2.46653475 5.61638166 6.62864664],[2.53947658 5.64752907 6.55507369]
134,1.95670961752748,64.4789765462687,[2.52285542 2.40408024 6.62216784],[4.72457533 4.00763729 4.2456684 ]
136,1.9661427271451306,122.54780266772389,[-6.06033829 -0.98516107  4.36376691],[ 4.12727992 -0.35860578 -6.67537528]
137,2.0457387906120723,610.6093095850447,[-2.09041135  3.29143569  6.61526547],[ 5.03447588  3.61737518 -1.39635574]
138,0.4702272663549143,142.69575509711285,[0.79438614 4.65562475 6.62190617],[2.7271326  5.54968138 2.3561948 ]
139,0.4487403568079533,21.116270290897525,[-0.54245336  1.15413904  6.62778061],[ 5.23049346  2.032355   -6.67912353]
142,4.060273592641943,602.7795849657406,[2.7147597  0.31927052 6.62991012],[-6.18352132 -0.47402042 -4.56568715]
145,0.4484362969941113,11.349104259032108,[ 4.49232036 -2.33832646  6.62863927],[ 5.90003428 -1.8456574   3.38174437]
147,2.428390214957548,15.595502412544628,[-1.6026062  -0.13084407  6.6237894 ],[ 5.93922989  1.74904349 -4.9035044 ]
154,3.875474398824567,71.92872565167399,[-4.21440105 -0.7067107   6.61460857],[-6.01800353 -1.46284909  3.92168861]
156,2.4749382600657452,73.48064192652181,[-0.0386106   1.08816311  6.62788045],[3.67260701 4.98282549 0.62617164]
159,2.311141508451262,36.950928000361685,[2.73120457 3.00759281 6.61340494],[5.35754837 3.10418153 3.05581002]
161,1.7659266552143276,1.9301163437368278,[ 3.40313494 -2.72211792  6.61468906],[ 5.92830711 -1.80078355  4.04066818]
169,4.67294543730028,399.0817645481006,[-1.80599498  3.09687114  6.62420869],[-5.81571493  2.16405232  2.61136757]
172,3.8851374954799343,99.61716639191414,[-0.38413449  1.67291033  6.62274125],[-5.56614744 -2.7031332  -1.03275004]
177,2.955514422296461,38.941554880387905,[ 2.89706175 -3.03126884  6.62145002],[ 5.35859089 -2.51015596 -6.68366276]
178,1.5233951508396741,141.95598320090082,[-4.97802774 -0.10346436  6.63066993],[ 4.70041843  4.04018839 -3.05865954]
179,1.2345133705488023,44.23112692697168,[-4.66113853 -3.99764423  1.18079851],[ 2.75542764 -1.47112287 -6.67583551]
181,4.457871296693753,35.621229520598895,[-5.11320903 -1.83023713  6.61962471],[-5.80375101 -2.18035222  5.9060963 ]
182,4.269743660925846,5.82649737531371,[-0.64214656  2.13414119  6.61530172],[-5.89569298  1.89298217  0.80142394]
184,0.03658071329082944,1253.2711155160796,[-1.49506677 -4.66454782  6.62010543],[-1.00858912 -4.57205452 -6.68160794]
